지표구분,지표명,구성정보,데이터타입,비고
오버뷰,최초상위캠페인,최초 상위 캠페인 명,문자,
오버뷰,최초캠페인,최초 캠페인 명 ,문자,
오버뷰,취소인원,취소 인원 명수,숫자,
오버뷰,캠페인,캠페인 코드,문자,
오버뷰,캠페인 유형명,캠페인 유형 명,문자,
오버뷰,캠페인명,캠페인 명,문자,
오버뷰,클릭수,클릭 수,숫자,
오버뷰,페이지경로,페이지 경로,문자,
오버뷰,페이지경로+쿼리문자열,페이지 경로 쿼리 문자열,문자,
오버뷰,페이지위치,페이지 위치,문자,
오버뷰,평균 세션 시간,평균 세션 시간,문자,
오버뷰,평균 세션 시간,평균 세션 시간,숫자,
오버뷰,평균 세션 시간2,평균 세션 시간2,문자,
오버뷰,평균 세션시간,평균 세션 시간,숫자,
오버뷰,평균세션시간,평균 세션 시간,숫자,
오버뷰,평균후원기간,평균 후원 기간,숫자,
오버뷰,행사구분,행사 구분 명,문자,
오버뷰,행사기간,행사 기간,문자,
오버뷰,행사명,행사 명,문자,
오버뷰,현재 후원사업,현재 후원 사업 명,문자,
오버뷰,홈페이지 ID,홈페이지 ID,문자,
오버뷰,홍보방법,홍보 방법 명,문자,
오버뷰,활동(건),활동 건수,숫자,
오버뷰,활동(명),활동 명수,숫자,
오버뷰,활동구성비(%),활동 구성 비율,숫자,
오버뷰,활동율,활동 율,숫자,
오버뷰,활동율2,활동 율2,숫자,
오버뷰,활성사용자,활성 사용자 건수,숫자,
오버뷰,활성사용자 대비 개발건(%),활성 사용자 대비 개발 건 율,숫자,
오버뷰,활성사용자 합계,활성 사용자 합계,숫자,
오버뷰,회원구분,회원 구분 명,문자,
오버뷰,회원번호,회원 번호,문자,
오버뷰,회원상태,회원 구분 명,문자,
오버뷰,후원금액,후원 금액,숫자,
오버뷰,후원금액대(약정금액을 기준으로 ÷ 10000원),약정 후원 금액대,문자,
오버뷰,후원금액대2,후원 금액대2,문자,
오버뷰,후원기간(개월),후원 기간 개월수,숫자,
오버뷰,후원기간대(납입기준),납입 기준 후원 기간 대,문자,
오버뷰,후원사업,후원 사업 명,문자,
오버뷰,후원사업(2)명,후원 사업(2) 명,문자,
오버뷰,후원사업명,후원 사업 명,문자,
