데이터플랫폼 공통지표,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
구분,순서,지표명,정의,계산식,데이터 출처,합의 필요사항,,,,
활동,52,월말활동회원(건),"조회년월 기준, 해당월 활동회원 전체 활동건수","월 활동회원(회원상태가 활동, 미납1~미납5)의 전체후원사업금액/10,000",,"이럴 때 같은 날이면 문제가 생기는데 지금 시간으로 구분하기는 어려워서, 재후원을 진행한 후원사업의 넘버링(후원을 할 경우 발생되는 숫자)이 후원사업의 넘버링보다 크다는 조건이 필요",,,,
활동,53,전월말 활동회원(건),"조회년월 기준, 이전월 활동회원 건",,,,,,,
중단,54,중단율1(%),활동 대비 중단,중단(건)/(개발(건)+연도초활동회원(건)),,,,,,
중단,55,중단율2(%),개발 대비 중단,중단(건)/개발(건),,,,,,
중단,56,신규 중단율,신규회원 중단율,신규중단(건)/(당월 신규개발(건)+전월말 신규활동회원건),,,,,,
중단,57,기존 중단율,기존회원 중단율,기존중단(건)/(당월 기존개발(건)+전월말 기존활동회원건),,,,,,
중단,58,주간 평균 1일 중단(건),주간 평균 1일 중단건수,해당주간 총 중단건수/ 해당 주간 일수,,,,,,
공통,59,증감(건),"전주/전월/전년 대비 개발,중단,미납,활동(건) 증감",(당해년도 전주/전월/전년 수치 - 전주/전월/전년 수치),,,,,,
공통,60,증감율(%),"전주/전월/전년 대비 개발,중단,미납,활동율(%) 증감",(당해년도 전주/전월/전년 수치 - 전주/전월/전년 수치)/(전주/전월/전년 수치)*100,,,,,,
활동,61,1명당 건수,정기회원 1명당 후원건수,활동회원 건/ 활동회원 명,,,,,,
납입,62,납입율(%),전체 납입율,"납입회비 원/(활동회원 건*10,000)",,,,,,
납입,63,누계납입율(%),전체 누계납입율,"누계납입회비 원/(누계 활동회원 건*10,000)",,,,,,
납입,64,납부율(%),전체 납부율,(납입회비 원/청구회비 원)*100       *청구회비금액: 재청구 중복 포함,,,,,,
납입,65,누계납부율(%),전체 누계납부율,(누계납부회비 원/누계 청구회비 원)*100   *청구회비금액: 재청구 중복 포함,,,,,,
납입,66,정기회비,정기회원이 정기후원사업으로 납입하는 회비,,,,,,,
납입,67,정기회원 일시회비,정기회원이 납부하는 일시회비,"정기회원이 정기후원사업 외 비지정(기타,국내사업,해외사업)으로 납부하는 일시회비",,,,,,
납입,68,일시회원 일시회비,일시회원이 납부하는 일시회비,일시회원이 납부하는 회비,,,,,,
납입,69,납입회비,정기회원이 매월 납입하는 회비,,,,,,,
납입,70,납입,"정기회원이 매월 납입하는 회비 명, 원","납입회원명수, 회원이 납입한 금액(원)",,,,,,
납입,71,청구,매월 정기회원의 회비납부 실행을 위한 납입방식별 결제 요청 프로세스,,,,,,,
개발/활동,72,후원금액대1,5만원 단위 후원금액대,"조회년월 기준 후원 약정금액 기준 5만원 단위로 구분(1만원~5만원,6만원~10만원,,,)",CRM,,,,,
개발/활동,73,후원금액대2,1만원 단위 후원금액대,조회년월 기준 후원 약정금액 기준 1만원 단위로 구분,CRM,,,,,
개발/활동,74,후원기간대1,5년 단위 후원기간대,"캠페인 가입일자부터 조회년월까지의 기간을 개월기준, 년 기준으로 5년단위 구분",CRM,,,,,
개발/활동,75,후원기간대2,1년 단위 후원기간대,"캠페인 가입일자부터 조회년월까지의 기간을 개월기준, 년 기준으로 1년단위 구분 ",CRM,,,,,
미납,76,미납율(%),활동회원 대비 미납회원 비중,미납(건)/활동(건),,,,,,
미납,77,신규 미납율(%),활동회원 대비 신규미납회원 비중,신규미납(건)/신규활동(건),,,,,,
미납,78,기존 미납율(%),활동회원 대비 기존미납회원 비중,기존미납(건)/기존활동(건),,,,,,
미납,79,후원사업별 미납율(%),후원사업별 활동회원 대비 미납회원 비중,후원사업 미납(건)/후원사업 활동(건),,,,,,
