부서명,부서코드,부서 경로
아동보호사업팀(사복),E000093,본부(사복) > 아동권리사업본부(사복) > 아동권리사업부(사복) > 아동보호사업팀(사복)
아동행복동행팀(사복),E001086,본부(사복) > 아동권리사업본부(사복) > 아동권리사업부(사복) > 아동행복동행팀(사복)
미래성장지원팀(사복),E001124,본부(사복) > 아동권리사업본부(사복) > 아동권리사업부(사복) > 미래성장지원팀(사복)
전략기획본부(사복),D001009,본부(사복) > 전략기획본부(사복)
아동권리연구소(사복),D001025,본부(사복) > 전략기획본부(사복) > 아동권리연구소(사복)
예산운영부(사복),E001027,본부(사복) > 전략기획본부(사복) > 예산운영부(사복)
후원서비스팀(사복),E001040,본부(사복) > 전략기획본부(사복) > 후원서비스팀(사복)
경영기획부(사복),E001168,본부(사복) > 전략기획본부(사복) > 경영기획부(사복)
예산기획팀(사복),E001019,본부(사복) > 전략기획본부(사복) > 경영기획부(사복) > 예산기획팀(사복)
경영기획팀(사복),E001130,본부(사복) > 전략기획본부(사복) > 경영기획부(사복) > 경영기획팀(사복)
감사실(사복),D001013,본부(사복) > 감사실(사복)
디지털경영실(사복),D001015,본부(사복) > 디지털경영실(사복)
디지털운영팀(사복),E001039,본부(사복) > 디지털경영실(사복) > 디지털운영팀(사복)
경영지원본부(사복),D001037,본부(사복) > 경영지원본부(사복)
인재운영부(사복),E001020,본부(사복) > 경영지원본부(사복) > 인재운영부(사복)
역량강화센터(사복),E001145,본부(사복) > 경영지원본부(사복) > 역량강화센터(사복)
인재개발팀(사복),D001034,본부(사복) > 경영지원본부(사복) > 역량강화센터(사복) > 인재개발팀(사복)
루마니아,E001137,본부(사복) > 경영지원본부(사복) > 역량강화센터(사복) > 인재개발팀(사복) > 루마니아
GN컬쳐팀(사복),E001141,본부(사복) > 경영지원본부(사복) > 역량강화센터(사복) > GN컬쳐팀(사복)
행정지원부(사복),E001169,본부(사복) > 경영지원본부(사복) > 행정지원부(사복)
총무팀(사복),E001042,본부(사복) > 경영지원본부(사복) > 행정지원부(사복) > 총무팀(사복)
디지털기획운영팀(사복),E001125,본부(사복) > 경영지원본부(사복) > 행정지원부(사복) > 디지털기획운영팀(사복)
사단파견(사복),E001041,본부(사복) > 사단파견(사복)
사회공헌협력팀(사복),F001015,본부(사복) > 사단파견(사복) > 사회공헌협력팀(사복)
온라인팀(사복),F001016,본부(사복) > 사단파견(사복) > 온라인팀(사복)
물품후원팀(사복),F001039,본부(사복) > 사단파견(사복) > 물품후원팀(사복)
회원상담센터(사복),F001073,본부(사복) > 사단파견(사복) > 회원상담센터(사복)
국내(사복),C001012,국내(사복)
서인권역본부(사복),D001019,국내(사복) > 서인권역본부(사복)
서울중남지부(사복),D000032,국내(사복) > 서인권역본부(사복) > 서울중남지부(사복)
