SILVER_TABLE,COLUMN,STATUS,판정군,소비GOLD모델,SILVER내부소비,SILVER내부_컬럼참조,채움(non-null),비영(non-zero),고유값(근사),변동(2026-08-07)
AGENCY_AD_BROADCAST,AD_PERF_DK,REFERENCED,,FACT_AD_BROADCAST,,,38486,38486,38322,
AGENCY_AD_BROADCAST,TIME_BAND,REFERENCED,,FACT_AD_BROADCAST,,,37218,37218,23,
AGENCY_AD_BROADCAST,CM_POSITION,REFERENCED,,FACT_AD_BROADCAST,,,32840,32840,16,
AGENCY_AD_BROADCAST,RT_TYPE,REFERENCED,,FACT_AD_BROADCAST,,,2070,2070,2,
AGENCY_AD_BROADCAST,AD_START_TIME,REFERENCED,,FACT_AD_BROADCAST,,,33843,33843,23446,
AGENCY_AD_BROADCAST,AD_END_TIME,REFERENCED,,FACT_AD_BROADCAST,,,15203,15203,12036,
AGENCY_AD_BROADCAST,BROADCAST_DATE,REFERENCED,,FACT_AD_BROADCAST,,,38486,38486,1296,
AGENCY_AD_BROADCAST,PROGRAM_NM,REFERENCED,,FACT_AD_BROADCAST,,,36097,36097,1851,
AGENCY_AD_BROADCAST,CHANNEL_COMPANY,REFERENCED,,FACT_AD_BROADCAST,,,38486,38486,62,
AGENCY_AD_BROADCAST,CHANNEL_COMPANY_TYPE,REFERENCED,,FACT_AD_BROADCAST,,,36384,36384,9,
AGENCY_AD_BROADCAST,SPOT_TYPE,REFERENCED,,FACT_AD_BROADCAST,,,14199,14199,4,
AGENCY_AD_BROADCAST,DURATION_SEC,REFERENCED,,FACT_AD_BROADCAST,,,32739,32739,4,
AGENCY_AD_BROADCAST,DAY_DIV,REFERENCED,,FACT_AD_BROADCAST,,,35148,35148,3,
AGENCY_AD_BROADCAST,PRG_START_TIME,REFERENCED,,FACT_AD_BROADCAST,,,33024,33024,2169,
AGENCY_AD_BROADCAST,CTV_DIV,REFERENCED,,FACT_AD_BROADCAST,,,2170,2170,2,
AGENCY_AD_BROADCAST,BRDC_DIV,REFERENCED,,FACT_AD_BROADCAST,,,237,237,6,
AGENCY_AD_BROADCAST,AD_CNT,REFERENCED,,FACT_AD_BROADCAST,,,37295,37295,1,
AGENCY_AD_BROADCAST,CONV_CALL_CNT,REFERENCED,,FACT_AD_BROADCAST,,,0,0,0,
AGENCY_AD_BROADCAST,DVLP_MEMBER_CNT,REFERENCED,,FACT_AD_BROADCAST,,,2035,2025,140,
AGENCY_AD_BROADCAST,DVLP_CNT,REFERENCED,,FACT_AD_BROADCAST,,,2036,2026,340,
AGENCY_AD_BROADCAST,AD_VIEW_RT_SRC,REFERENCED,,FACT_AD_BROADCAST,,,32840,13988,127,
AGENCY_AD_BROADCAST,CPC_SRC,REFERENCED,,FACT_AD_BROADCAST,,,33615,17834,1376,
AGENCY_AD_BROADCAST_CASE,AD_PERF_DK,REFERENCED,,FACT_AD_BROADCAST_CASE,,,5340,5340,2060,
AGENCY_AD_BROADCAST_CASE,CASE_SEQ,REFERENCED,,FACT_AD_BROADCAST_CASE,,,5340,5340,3,
AGENCY_AD_BROADCAST_CASE,BIZ_DIV,REFERENCED,,FACT_AD_BROADCAST_CASE,,,5335,5335,13,
AGENCY_AD_BROADCAST_CASE,FAMILY_TYPE,REFERENCED,,FACT_AD_BROADCAST_CASE,,,5260,5260,13,
AGENCY_AD_BROADCAST_CASE,APPEAL_POINT,REFERENCED,,FACT_AD_BROADCAST_CASE,,,5314,5314,24,
AGENCY_AD_BROADCAST_CASE,CASE_DIV,REFERENCED,,FACT_AD_BROADCAST_CASE,,,5302,5302,2,
AGENCY_AD_CREATIVE,CREATIVE_DK,REFERENCED,,DIM_AD_CREATIVE,,,8715,8715,8791,
AGENCY_AD_CREATIVE,SOURCE_SYSTEM,REFERENCED,,DIM_AD_CREATIVE,,,8715,8715,3,
AGENCY_AD_CREATIVE,MEDIA_CHANNEL_NM,REFERENCED,,DIM_AD_CREATIVE,,,8715,8715,106,
AGENCY_AD_CREATIVE,CREATIVE_NM,REFERENCED,,DIM_AD_CREATIVE,,,8712,8712,6305,
AGENCY_AD_CREATIVE,CREATIVE_TYPE_NM,REFERENCED,,DIM_AD_CREATIVE,,,5112,5112,12,
AGENCY_AD_CREATIVE,CM_AREA_NM,REFERENCED,,DIM_AD_CREATIVE,,,1203,1203,16,
AGENCY_AD_CREATIVE,AD_SEC_NM,DROPPED,A_해소_중복축DROP,DIM_AD_CREATIVE,,,1217,1217,8,
AGENCY_AD_DIGITAL,AD_PERF_DK,REFERENCED,,FACT_AD_DIGITAL,,,205059,205059,203449,
AGENCY_AD_DIGITAL,PAGE_TYPE,REFERENCED,,FACT_AD_DIGITAL,,,541,541,1,
AGENCY_AD_DIGITAL,AD_GROUP_NM,REFERENCED,,FACT_AD_DIGITAL,,,893,893,13,
AGENCY_AD_DIGITAL,GROUP_DIV,REFERENCED,,FACT_AD_DIGITAL,,,782,782,11,
AGENCY_AD_DIGITAL,CREATIVE_TYPE,REFERENCED,,FACT_AD_DIGITAL,,,84326,84326,4,
AGENCY_AD_DIGITAL,AD_TYPE_NM,REFERENCED,,FACT_AD_DIGITAL,,,205059,205059,6,
AGENCY_AD_DIGITAL,READ_CNT,REFERENCED,,FACT_AD_DIGITAL,,,7052,5260,2758,
AGENCY_AD_DIGITAL,MEDIA_POTENTIAL_CUST_CNT,REFERENCED,,FACT_AD_DIGITAL,,,0,0,0,
AGENCY_AD_DIGITAL,CRM_DEV_CNT,REFERENCED,,FACT_AD_DIGITAL,,,189252,42034,177,
AGENCY_AD_DIGITAL,CTR_SRC,REFERENCED,,FACT_AD_DIGITAL,,,12292,10978,9051,
